PLAYER DIVISION SCORE FAIRNESS ACCEPTS REJECT
-------
playerVirtual1 3 0 1 1 0
playerVirtual11 3 0 1 1 0
playerVirtual4 3 -1 1 0 1
playerVirtual8 3 1.33 0 1 0
playerVirtual2 3 1.99 1 1 0
playerVirtual13 3 1.33 1 1 0
playerVirtual3 3 -1 1 0 1
playerVirtual6 3 1.99 0 1 0
playerVirtual15 3 -1 1 0 1
playerVirtual17 3 0 0 1 0
playerVirtual19 3 0 0 1 0
playerVirtual5 3 -1 1 0 1
playerVirtual9 3 1.99 1 1 0
playerVirtual7 3 0 1 1 0
playerVirtual14 3 -1 0 0 1
playerVirtual12 3 -1 0 0 1
playerVirtual0 3 -1 1 0 1
playerVirtual16 3 1.33 0 1 0
playerVirtual18 3 0 0 1 0
playerVirtual10 3 -1 1 0 1
-------
playerVirtual1 3 1.33 1 3 0
playerVirtual11 3 3.32 1 3 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 2.66 0 3 0
playerVirtual2 3 3.98 1 3 0
playerVirtual13 2 4.65 1 3 0
playerVirtual3 3 0.99 1 2 1
playerVirtual6 3 3.32 0.666667 3 0
playerVirtual15 4 -3 1 0 3
playerVirtual17 3 2.66 0 3 0
playerVirtual19 3 1.33 0 2 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 1.99 1 2 0
playerVirtual7 3 0 1 2 0
playerVirtual14 4 -2 0 0 2
playerVirtual12 4 -2 0 0 2
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 1.33 0 2 0
playerVirtual18 3 1.99 0 2 0
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.33 1 3 0
playerVirtual11 2 4.65 1 4 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 2.66 0 3 0
playerVirtual2 3 3.98 1 3 0
playerVirtual13 2 4.65 1 3 0
playerVirtual3 3 0.99 1 2 1
playerVirtual6 3 3.32 0.666667 3 0
playerVirtual15 4 -3 1 0 3
playerVirtual17 3 2.66 0 3 0
playerVirtual19 3 2.66 0 3 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 1.99 1 3 0
playerVirtual7 3 -1 1 2 1
playerVirtual14 4 -2 0 0 2
playerVirtual12 4 -2 0 0 2
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 1.33 0.333333 3 0
playerVirtual18 3 1.99 0.333333 3 0
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 4 1
playerVirtual11 2 4.65 1 4 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 2.66 0 4 0
playerVirtual2 3 2.98 0.75 3 1
playerVirtual13 2 4.65 1 3 0
playerVirtual3 3 2.32 0.75 3 1
playerVirtual6 3 2.32 0.5 3 1
playerVirtual15 4 -3 1 0 3
playerVirtual17 3 2.66 0 4 0
playerVirtual19 3 2.66 0 4 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 0.99 1 3 1
playerVirtual7 3 -2 1 2 2
playerVirtual14 4 -2 0 0 2
playerVirtual12 4 -2 0 0 2
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 2.66 0.25 4 0
playerVirtual18 3 1.99 0.5 4 0
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 4 1
playerVirtual11 2 5.98 1 5 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.66 0 4 1
playerVirtual2 3 1.98 0.75 3 2
playerVirtual13 2 5.98 1 4 0
playerVirtual3 3 1.32 0.75 3 2
playerVirtual6 3 2.32 0.4 3 1
playerVirtual15 4 -3 1 0 3
playerVirtual17 3 1.66 0 5 0
playerVirtual19 3 2.66 0.2 4 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 0.99 1 3 1
playerVirtual7 3 -2 1 2 2
playerVirtual14 4 -2 0 0 2
playerVirtual12 4 -2 0 0 2
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 2.66 0.25 4 0
playerVirtual18 3 1.99 0.5 4 0
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 4 1
playerVirtual11 2 5.98 1 5 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.66 0 4 1
playerVirtual2 3 1.98 0.75 3 2
playerVirtual13 2 5.98 1 4 0
playerVirtual3 3 1.32 0.75 3 2
playerVirtual6 3 -0.01 0.4 4 1
playerVirtual15 4 -3 1 0 3
playerVirtual17 3 1.66 0 5 0
playerVirtual19 3 3.99 0.2 5 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 -0.01 1 3 2
playerVirtual7 4 -0.67 1 3 2
playerVirtual14 4 -2 0 0 2
playerVirtual12 4 -2 0 0 2
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 2.66 0.2 4 0
playerVirtual18 3 1.99 0.6 4 0
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 5 1
playerVirtual11 2 5.98 1 5 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 1.66 0 4 1
playerVirtual2 3 1.98 0.8 3 2
playerVirtual13 2 5.98 1 4 0
playerVirtual3 3 1.32 0.8 3 2
playerVirtual6 3 -2.01 0.4 4 1
playerVirtual15 4 -3 1 0 3
playerVirtual17 3 1.66 0 5 0
playerVirtual19 3 3.99 0.2 5 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 -0.01 1 3 2
playerVirtual7 4 -0.67 1 3 2
playerVirtual14 4 -2 0 0 2
playerVirtual12 4 -2 0 0 2
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 2.66 0.2 4 0
playerVirtual18 3 3.32 0.6 5 0
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 5 1
playerVirtual11 2 5.98 1 5 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 0.66 0 4 2
playerVirtual2 3 0.98 0.6 3 3
playerVirtual13 2 5.98 1 4 0
playerVirtual3 3 1.32 0.8 3 2
playerVirtual6 3 -2.01 0.4 4 1
playerVirtual15 4 -3 1 0 3
playerVirtual17 3 1.66 0 5 0
playerVirtual19 3 3.99 0.166667 5 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 -0.01 1 3 2
playerVirtual7 4 -0.67 1 3 2
playerVirtual14 4 -2 0 0 2
playerVirtual12 4 -2 0 0 2
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 2.66 0.166667 5 0
playerVirtual18 3 3.32 0.6 5 0
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 5 1
playerVirtual11 2 5.98 1 5 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 0.66 0 4 2
playerVirtual2 3 0.98 0.6 3 3
playerVirtual13 2 5.98 1 5 0
playerVirtual3 3 3.31 0.833333 4 2
playerVirtual6 3 -2.01 0.333333 4 1
playerVirtual15 4 -3 1 0 3
playerVirtual17 3 3.65 0 6 0
playerVirtual19 3 3.99 0.166667 5 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 -1.01 1 3 3
playerVirtual7 4 -0.67 1 3 2
playerVirtual14 4 -2 0 0 2
playerVirtual12 4 -2 0 0 2
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 2.66 0.166667 5 0
playerVirtual18 3 2.32 0.6 5 0
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 5 1
playerVirtual11 2 5.98 1 5 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 0.66 0 4 2
playerVirtual2 3 0.98 0.6 3 3
playerVirtual13 2 5.98 1 5 0
playerVirtual3 3 3.31 0.833333 4 2
playerVirtual6 3 -0.02 0.333333 5 1
playerVirtual15 4 -3 1 0 3
playerVirtual17 3 3.65 0 6 0
playerVirtual19 3 3.99 0.166667 5 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 -2.01 1 3 3
playerVirtual7 4 -0.67 1 3 2
playerVirtual14 4 -2 0 0 2
playerVirtual12 4 -2 0 0 2
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 2.66 0.166667 5 0
playerVirtual18 3 2.32 0.6 5 0
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 1.66 1 5 2
playerVirtual11 2 5.98 1 5 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 0.66 0 4 2
playerVirtual2 3 0.98 0.6 3 3
playerVirtual13 2 5.98 1 5 0
playerVirtual3 3 3.31 0.833333 4 2
playerVirtual6 3 -0.02 0.333333 5 1
playerVirtual15 4 -3 1 0 3
playerVirtual17 3 3.65 0 6 0
playerVirtual19 3 3.99 0.166667 6 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 -2.01 1 3 3
playerVirtual7 4 -0.67 1 3 2
playerVirtual14 4 -2 0 0 2
playerVirtual12 4 -2 0 0 2
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 2.66 0.166667 5 0
playerVirtual18 3 2.32 0.6 6 0
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 0.66 1 5 2
playerVirtual11 2 5.98 1 5 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 0.66 0.166667 4 3
playerVirtual2 3 0.98 0.6 3 4
playerVirtual13 2 5.98 1 5 0
playerVirtual3 3 3.31 0.833333 5 2
playerVirtual6 3 -0.02 0.333333 5 1
playerVirtual15 4 -3 1 0 3
playerVirtual17 3 3.65 0 7 0
playerVirtual19 2 5.32 0.166667 6 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 -2.01 1 3 3
playerVirtual7 4 -0.67 1 3 2
playerVirtual14 4 -2 0 0 2
playerVirtual12 4 -2 0 0 2
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 2.66 0.142857 6 0
playerVirtual18 3 2.32 0.6 6 0
playerVirtual10 4 -2 1 0 2
-------
playerVirtual1 3 0.66 1 5 2
playerVirtual11 2 7.97 1 6 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 -0.34 0.285714 4 3
playerVirtual2 3 -0.02 0.666667 3 4
playerVirtual13 2 4.98 1 5 1
playerVirtual3 2 4.64 0.833333 5 2
playerVirtual6 4 -0.02 0.428571 5 1
playerVirtual15 4 -3 1 0 3
playerVirtual17 2 5.64 0 7 0
playerVirtual19 2 5.32 0.142857 6 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 4 -2.01 1 3 3
playerVirtual7 4 -0.67 1 3 2
playerVirtual14 4 -2 0 0 2
playerVirtual12 4 -2 0 0 2
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 3.99 0.142857 6 0
playerVirtual18 3 2.32 0.5 6 0
