PLAYER DIVISION SCORE FAIRNESS ACCEPTS REJECT
-------
playerVirtual1 3 -1 1 0 1
playerVirtual11 3 0 0 1 0
playerVirtual4 3 -1 1 0 1
playerVirtual8 3 1.33 0 1 0
playerVirtual2 3 -1 1 0 1
playerVirtual13 3 1.33 0 1 0
playerVirtual3 3 1.99 1 1 0
playerVirtual6 3 1.99 1 1 0
playerVirtual15 3 1.99 1 1 0
playerVirtual17 3 0 1 1 0
playerVirtual19 3 0 0 1 0
playerVirtual5 3 -1 1 0 1
playerVirtual9 3 1.99 0 1 0
playerVirtual7 3 -1 1 0 1
playerVirtual14 3 1.33 1 1 0
playerVirtual12 3 1.33 1 1 0
playerVirtual0 3 -1 1 0 1
playerVirtual16 3 1.33 0 1 0
playerVirtual18 3 0 1 1 0
playerVirtual10 3 0 1 1 0
-------
playerVirtual1 4 -3 1 0 3
playerVirtual11 3 3.32 0 3 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 2.66 0 3 0
playerVirtual2 3 0.99 1 2 1
playerVirtual13 2 4.65 0 3 0
playerVirtual3 3 -0.01 1 1 2
playerVirtual6 3 -0.01 1 1 2
playerVirtual15 3 1.99 0.333333 3 0
playerVirtual17 3 2.66 1 3 0
playerVirtual19 3 0 0 2 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 1.99 0 2 0
playerVirtual7 4 -2 1 0 2
playerVirtual14 3 3.32 1 2 0
playerVirtual12 3 2.66 1 2 0
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 1.33 0 2 0
playerVirtual18 3 1.99 1 2 0
playerVirtual10 3 0 1 2 0
-------
playerVirtual1 4 -3 1 0 3
playerVirtual11 3 3.32 0 3 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 2.66 0 3 0
playerVirtual2 3 0.99 1 2 1
playerVirtual13 2 4.65 0 3 0
playerVirtual3 3 -0.01 1 1 2
playerVirtual6 3 -0.01 1 1 2
playerVirtual15 3 1.99 0.333333 3 0
playerVirtual17 3 2.66 1 3 0
playerVirtual19 3 0 0.333333 3 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 1.99 0.333333 3 0
playerVirtual7 4 -2 1 0 2
playerVirtual14 3 3.32 1 3 0
playerVirtual12 3 2.66 1 3 0
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 1.33 0.333333 3 0
playerVirtual18 3 1.99 1 3 0
playerVirtual10 3 0 1 2 0
-------
playerVirtual1 4 -3 1 0 3
playerVirtual11 3 2.32 0.25 4 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 3.99 0.25 4 0
playerVirtual2 3 0.99 0.75 3 1
playerVirtual13 2 4.65 0.25 3 0
playerVirtual3 4 -0.01 1 2 2
playerVirtual6 4 -1.01 1 1 3
playerVirtual15 3 3.32 0.25 4 0
playerVirtual17 3 3.99 1 4 0
playerVirtual19 3 0 0.5 4 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 1.99 0.5 4 0
playerVirtual7 4 -2 1 0 2
playerVirtual14 3 3.32 1 4 0
playerVirtual12 3 3.99 1 4 0
playerVirtual0 4 -2 1 0 2
playerVirtual16 3 2.66 0.5 4 0
playerVirtual18 3 1.99 1 3 0
playerVirtual10 3 1.33 1 3 0
-------
playerVirtual1 4 -3 1 0 3
playerVirtual11 3 2.32 0.4 5 0
playerVirtual4 4 -3 1 0 3
playerVirtual8 3 3.99 0.4 5 0
playerVirtual2 3 -1.01 0.75 3 2
playerVirtual13 2 4.65 0.2 3 0
playerVirtual3 4 -0.01 1 2 2
playerVirtual6 4 -1.01 1 1 3
playerVirtual15 3 3.32 0.25 5 0
playerVirtual17 3 1.66 1 5 0
playerVirtual19 3 0 0.6 4 0
playerVirtual5 4 -2 1 0 2
playerVirtual9 3 3.32 0.5 5 0
playerVirtual7 4 -2 1 0 2
